id	name
10502	Microsoft Project Server 2010 Service Pack 2
10613	Microsoft Project Server 2013
10614	Microsoft Project Server 2013 Service Pack 1
9338	Microsoft Publisher 2003 Service Pack 3
10159	Microsoft Publisher 2007 Service Pack 3
10184	Microsoft Publisher 2010 Service Pack 1 (32-bit editions)
10184	Microsoft Publisher 2010 Service Pack 1 (32-bit editions) 
10183	Microsoft Publisher 2010 Service Pack 1 (64-bit editions)
10503	Microsoft Publisher 2010 Service Pack 2 (32-bit editions)
10504	Microsoft Publisher 2010 Service Pack 2 (64-bit editions)
10411	Microsoft Publisher 2013 (32-bit editions)
10412	Microsoft Publisher 2013 (64-bit editions)
10609	Microsoft Publisher 2013 Service Pack 1 (32-bit editions)
10610	Microsoft Publisher 2013 Service Pack 1 (64-bit editions)
10632	Microsoft Service Bus 1.1 when installed
10160	Microsoft SharePoint Designer 2007 Service Pack 3
10535	Microsoft SharePoint Designer 2010 Service Pack 1
10615	Microsoft SharePoint Designer 2010 Service Pack 1 (32-bit versions)
10617	Microsoft SharePoint Designer 2010 Service Pack 1 (64-bit versions)
10536	Microsoft SharePoint Designer 2010 Service Pack 2
10616	Microsoft SharePoint Designer 2010 Service Pack 2 (32-bit versions)
10618	Microsoft SharePoint Designer 2010 Service Pack 2 (64-bit versions)
10416	Microsoft SharePoint Designer 2013
10619	Microsoft SharePoint Designer 2013 (32-bit versions)
10621	Microsoft SharePoint Designer 2013 (64-bit versions)
10623	Microsoft SharePoint Designer 2013 Service Pack 1 (32-bit versions)
10622	Microsoft SharePoint Designer 2013 Service Pack 1 (64-bit versions)
10043	Microsoft SharePoint Foundation 2010
10115	Microsoft SharePoint Foundation 2010 Service Pack 1
10505	Microsoft SharePoint Foundation 2010 Service Pack 2
10417	Microsoft SharePoint Foundation 2013
10612	Microsoft SharePoint Foundation 2013 Service Pack 1
9452	Microsoft SharePoint Portal Server 2003 Service Pack 3 (32-bit editions)
9453	Microsoft SharePoint Portal Server 2003 Service Pack 3 (64-bit editions)
9407	Microsoft SharePoint Server 2007 Service Pack 2 (32-bit editions)
9408	Microsoft SharePoint Server 2007 Service Pack 2 (64-bit editions)
10308	Microsoft SharePoint Server 2007 Service Pack 3 (32-bit editions)
10307	Microsoft SharePoint Server 2007 Service Pack 3 (64-bit editions)
9430	Microsoft SharePoint Server 2010
10120	Microsoft SharePoint Server 2010 Service Pack 1
10495	Microsoft SharePoint Server 2010 Service Pack 2
10495	Microsoft SharePoint Server 2010 Service Pack 2 with Word Automation Services
10415	Microsoft SharePoint Server 2013
10607	Microsoft SharePoint Server 2013 Service Pack 1
10607	Microsoft SharePoint Server 2013 Service Pack 1 with Word Automation Services
10415	Microsoft SharePoint Server 2013 with Word Automation Services
10114	Microsoft SharePoint Workspace 2010 Service Pack 1
10465	Microsoft SharePoint Workspace 2013 (32-bit editions)
10466	Microsoft SharePoint Workspace 2013 (64-bit editions)
10452	Microsoft Silverlight 5 Developer Runtime when installed
10099	Microsoft Silverlight 5 when installed
10297	Microsoft Speech Server 2004
10296	Microsoft Speech Server 2004 R2
10296	Microsoft Speech Server 2004 R2 
10232	Microsoft SQL Server 2000 Analysis Services Service Pack 4
9286	Microsoft SQL Server 2000 Desktop Engine (MSDE 2000) Service Pack 4
9287	Microsoft SQL Server 2000 Desktop Engine (MSDE)
9205	Microsoft SQL Server 2000 Itanium Edition Service Pack 4
3571	Microsoft SQL Server 2000 Reporting Services Service Pack 2
10261	Microsoft SQL Server 2000 Service Pack 4
3403	Microsoft SQL Server 2000 Service Pack 4 
10261	Microsoft SQL Server 2000 Service Pack 4 (QFE)
10089	Microsoft SQL Server 2005 Express Edition Service Pack 4
10090	Microsoft SQL Server 2005 Express Edition with Advanced Services Service Pack 4
10211	Microsoft SQL Server 2005 Express Edition with Advanced Services Service Pack 4 (QFE)
10091	Microsoft SQL Server 2005 for 32-bit Systems Service Pack 4
10207	Microsoft SQL Server 2005 for 32-bit Systems Service Pack 4 (QFE)
10092	Microsoft SQL Server 2005 for Itanium-Based Systems Service Pack 4
10209	Microsoft SQL Server 2005 for Itanium-Based Systems Service Pack 4 (QFE)
10093	Microsoft SQL Server 2005 for x64-based Systems Service Pack 4
10208	Microsoft SQL Server 2005 for x64-based Systems Service Pack 4 (QFE)
10084	Microsoft SQL Server 2008 for 32-bit Systems Service Pack 2
10212	Microsoft SQL Server 2008 for 32-bit Systems Service Pack 2 (QFE)
10166	Microsoft SQL Server 2008 for 32-bit Systems Service Pack 3
10213	Microsoft SQL Server 2008 for 32-bit Systems Service Pack 3 (QFE)
10083	Microsoft SQL Server 2008 for Itanium-Based Systems Service Pack 2
10215	Microsoft SQL Server 2008 for Itanium-Based Systems Service Pack 2 (QFE)
10167	Microsoft SQL Server 2008 for Itanium-Based Systems Service Pack 3
10217	Microsoft SQL Server 2008 for Itanium-Based Systems Service Pack 3 (QFE)
10085	Microsoft SQL Server 2008 for x64-based Systems Service Pack 2
10214	Microsoft SQL Server 2008 for x64-based Systems Service Pack 2 (QFE)
10168	Microsoft SQL Server 2008 for x64-based Systems Service Pack 3
